job_title,experience_level,employment_type,company_location,company_size,remote_ratio,skills,work_year,salary_in_usd
Head of Data,MI,FL,BR,M,0,"Python, AWS, Docker, SQL",2022,99916.26
Data Analyst,EN,FT,ES,S,100,"Kubernetes, SQL, Spark, Python",2025,58151.3
Research Scientist,EX,FT,ES,M,0,"Tableau, Docker, PyTorch, Kubernetes, SQL",2023,253345.54
Data Scientist,EN,PT,GB,M,100,"Spark, R, Tableau, TensorFlow, Python",2025,66021.92
Data Architect,EN,FT,US,S,0,"TensorFlow, Tableau, Spark, AWS",2022,54238.03
MLOps Engineer,MI,FT,DE,M,0,"AWS, TensorFlow",2022,83857.72
Head of Data,EN,FT,AU,M,50,"Docker, Python, PyTorch, SQL, Kubernetes, Spark",2023,66263.44
Data Scientist,SE,FT,ES,S,50,"GCP, Kubernetes",2025,106307.64
Research Scientist,EN,FT,FR,S,50,"GCP, Docker",2023,47087.89
Research Scientist,EN,FT,US,S,0,"Excel, Docker, SQL",2023,78739.42
Data Architect,SE,FT,US,S,50,"Python, GCP, Spark, PyTorch",2024,141177.0
Analytics Engineer,EX,FT,NL,S,100,"Tableau, Excel, PyTorch",2025,182130.41
Data Engineer,EX,FT,NL,M,100,"PyTorch, Tableau, SQL, AWS, Docker",2022,206516.16
Head of Data,EN,FT,FR,M,100,"Spark, SQL",2023,52799.54
Head of Data,SE,FT,FR,S,100,"R, Kubernetes, Tableau, Docker",2024,101114.96
Data Engineer,MI,FT,FR,M,0,"Spark, SQL",2024,89921.22
Data Engineer,SE,CT,ES,L,0,"TensorFlow, Spark, PyTorch",2021,137535.04
Research Scientist,EX,CT,ES,S,100,"PyTorch, TensorFlow",2023,135148.19
ML Engineer,SE,FT,CA,S,50,"Spark, Tableau, SQL, R, Docker",2022,105533.84
MLOps Engineer,SE,FT,GB,M,50,"GCP, R, Tableau, TensorFlow",2020,109857.03
Data Scientist,EX,FT,FR,M,100,"Tableau, Docker",2024,183220.7
ML Engineer,MI,FL,IN,M,0,"Excel, GCP, Docker, R, Kubernetes",2024,82313.26
ML Engineer,SE,CT,IN,M,100,"AWS, Spark",2021,147750.58
Business Analyst,SE,FT,GB,S,100,"Excel, Spark, PyTorch",2020,117013.15
Data Architect,EX,FT,IN,L,50,"PyTorch, Spark",2024,178276.81
Head of Data,SE,PT,NL,M,50,"SQL, AWS",2023,135663.89
